%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 20.00 < q2 < 21.00 GeV^{2}/c^{4}

# AFB     FH   p-value
0.0425  0.335  0.03
0.0425  0.345  0.05
0.0425  0.355  0.02
0.0425  0.365  0.05
0.0425  0.375  0.03
0.0425  0.385  0.02
0.0425  0.395  0.01
0.0495  0.105  0.65
0.0495  0.115  0.58
0.0495  0.125  0.48
0.0495  0.135  0.5
0.0495  0.145  0.37
0.0495  0.155  0.41
0.0495  0.165  0.4
0.0495  0.175  0.26
0.0495  0.185  0.28
0.0495  0.195  0.25
0.0495  0.205  0.22
0.0495  0.215  0.2
0.0495  0.225  0.15
0.0495  0.235  0.19
0.0495  0.245  0.14
0.0495  0.255  0.14
0.0495  0.265  0.13
0.0495  0.275  0.09
0.0495  0.285  0.09
0.0495  0.295  0.06
0.0495  0.305  0.08
0.0495  0.315  0.05
0.0495  0.325  0.04
0.0495  0.335  0.05
0.0495  0.345  0.04
0.0495  0.355  0.04
0.0495  0.365  0.04
0.0495  0.375  0.03
0.0495  0.385  0.01
0.0495  0.395  0.01
0.0565  0.115  0.54
0.0565  0.125  0.48
0.0565  0.135  0.51
0.0565  0.145  0.49
0.0565  0.155  0.43
0.0565  0.165  0.41
0.0565  0.175  0.35
0.0565  0.185  0.32
0.0565  0.195  0.25
0.0565  0.205  0.19
0.0565  0.215  0.17
0.0565  0.225  0.22
0.0565  0.235  0.15
0.0565  0.245  0.09
0.0565  0.255  0.1
0.0565  0.265  0.13
0.0565  0.275  0.12
0.0565  0.285  0.06
0.0565  0.295  0.1
0.0565  0.305  0.06
0.0565  0.315  0.05
0.0565  0.325  0.04
0.0565  0.335  0.07
0.0565  0.345  0.03
0.0565  0.355  0.01
0.0565  0.365  0.03
0.0565  0.375  0.03
0.0565  0.385  0.04
0.0565  0.395  0.04
0.0635  0.135  0.49
0.0635  0.145  0.5
0.0635  0.155  0.44
0.0635  0.165  0.36
0.0635  0.175  0.32
0.0635  0.185  0.23
0.0635  0.195  0.22
0.0635  0.205  0.24
0.0635  0.215  0.23
0.0635  0.225  0.19
0.0635  0.235  0.17
0.0635  0.245  0.16
0.0635  0.255  0.17
0.0635  0.265  0.09
0.0635  0.275  0.12
0.0635  0.285  0.09
0.0635  0.295  0.07
0.0635  0.305  0.06
0.0635  0.315  0.05
0.0635  0.325  0.09
0.0635  0.335  0.03
0.0635  0.345  0.03
0.0635  0.355  0.03
0.0635  0.365  0.05
0.0635  0.375  0.01
0.0635  0.385  0.03
0.0635  0.395  0.04
0.0705  0.145  0.52
0.0705  0.155  0.43
0.0705  0.165  0.35
0.0705  0.175  0.32
0.0705  0.185  0.25
0.0705  0.195  0.32
0.0705  0.205  0.28
0.0705  0.215  0.25
0.0705  0.225  0.16
0.0705  0.235  0.24
0.0705  0.245  0.23
0.0705  0.255  0.14
0.0705  0.265  0.17
0.0705  0.275  0.09
0.0705  0.285  0.08
0.0705  0.295  0.09
0.0705  0.305  0.09
0.0705  0.315  0.05
0.0705  0.325  0.09
0.0705  0.335  0.06
0.0705  0.345  0.04
0.0705  0.355  0.01
0.0705  0.365  0.05
0.0705  0.375  0.04
0.0705  0.385  0.05
0.0705  0.395  0.0
0.0775  0.165  0.41
0.0775  0.175  0.37
0.0775  0.185  0.27
0.0775  0.195  0.32
0.0775  0.205  0.27
0.0775  0.215  0.2
0.0775  0.225  0.16
0.0775  0.235  0.2
0.0775  0.245  0.14
0.0775  0.255  0.12
0.0775  0.265  0.09
0.0775  0.275  0.13
0.0775  0.285  0.15
0.0775  0.295  0.08
0.0775  0.305  0.08
0.0775  0.315  0.05
0.0775  0.325  0.06
0.0775  0.335  0.09
0.0775  0.345  0.05
0.0775  0.355  0.05
0.0775  0.365  0.04
0.0775  0.375  0.05
0.0775  0.385  0.03
0.0775  0.395  0.04
0.0845  0.175  0.4
0.0845  0.185  0.32
0.0845  0.195  0.26
0.0845  0.205  0.23
0.0845  0.215  0.22
0.0845  0.225  0.22
0.0845  0.235  0.18
0.0845  0.245  0.18
0.0845  0.255  0.13
0.0845  0.265  0.1
0.0845  0.275  0.1
0.0845  0.285  0.09
0.0845  0.295  0.11
0.0845  0.305  0.09
0.0845  0.315  0.08
0.0845  0.325  0.07
0.0845  0.335  0.05
0.0845  0.345  0.04
0.0845  0.355  0.06
0.0845  0.365  0.06
0.0845  0.375  0.04
0.0845  0.385  0.02
0.0845  0.395  0.02
0.0915  0.185  0.31
0.0915  0.195  0.29
0.0915  0.205  0.31
0.0915  0.215  0.23
0.0915  0.225  0.2
0.0915  0.235  0.17
0.0915  0.245  0.14
0.0915  0.255  0.15
0.0915  0.265  0.16
0.0915  0.275  0.1
0.0915  0.285  0.1
0.0915  0.295  0.09
0.0915  0.305  0.09
0.0915  0.315  0.09
0.0915  0.325  0.08
0.0915  0.335  0.05
0.0915  0.345  0.05
0.0915  0.355  0.03
0.0915  0.365  0.06
0.0915  0.375  0.03
0.0915  0.385  0.05
0.0915  0.395  0.03
0.0985  0.205  0.28
0.0985  0.215  0.26
0.0985  0.225  0.18
0.0985  0.235  0.21
0.0985  0.245  0.17
0.0985  0.255  0.1
0.0985  0.265  0.16
0.0985  0.275  0.1
0.0985  0.285  0.08
0.0985  0.295  0.08
0.0985  0.305  0.06
0.0985  0.315  0.07
0.0985  0.325  0.04
0.0985  0.335  0.06
0.0985  0.345  0.06
0.0985  0.355  0.05
0.0985  0.365  0.03
0.0985  0.375  0.05
0.0985  0.385  0.02
0.0985  0.395  0.03
0.1055  0.215  0.24
0.1055  0.225  0.21
0.1055  0.235  0.19
0.1055  0.245  0.16
0.1055  0.255  0.17
0.1055  0.265  0.12
0.1055  0.275  0.08
0.1055  0.285  0.12
0.1055  0.295  0.08
0.1055  0.305  0.08
0.1055  0.315  0.04
0.1055  0.325  0.07
0.1055  0.335  0.04
0.1055  0.345  0.07
0.1055  0.355  0.06
0.1055  0.365  0.04
0.1055  0.375  0.04
0.1055  0.385  0.03
0.1055  0.395  0.03
0.1125  0.225  0.2
0.1125  0.235  0.25
0.1125  0.245  0.21
0.1125  0.255  0.14
0.1125  0.265  0.14
0.1125  0.275  0.11
0.1125  0.285  0.06
0.1125  0.295  0.08
0.1125  0.305  0.05
0.1125  0.315  0.09
0.1125  0.325  0.08
0.1125  0.335  0.06
0.1125  0.345  0.05
0.1125  0.355  0.03
0.1125  0.365  0.04
0.1125  0.375  0.06
0.1125  0.385  0.02
0.1125  0.395  0.03
0.1195  0.245  0.17
0.1195  0.255  0.17
0.1195  0.265  0.19
0.1195  0.275  0.09
0.1195  0.285  0.09
0.1195  0.295  0.09
0.1195  0.305  0.08
0.1195  0.315  0.07
0.1195  0.325  0.04
0.1195  0.335  0.08
0.1195  0.345  0.05
0.1195  0.355  0.08
0.1195  0.365  0.06
0.1195  0.375  0.01
0.1195  0.385  0.02
0.1195  0.395  0.01
0.1265  0.255  0.13
0.1265  0.265  0.17
0.1265  0.275  0.1
0.1265  0.285  0.09
0.1265  0.295  0.08
0.1265  0.305  0.06
0.1265  0.315  0.07
0.1265  0.325  0.07
0.1265  0.335  0.03
0.1265  0.345  0.05
0.1265  0.355  0.03
0.1265  0.365  0.03
0.1265  0.375  0.05
0.1265  0.385  0.03
0.1265  0.395  0.04
0.1335  0.275  0.12
0.1335  0.285  0.12
0.1335  0.295  0.09
0.1335  0.305  0.1
0.1335  0.315  0.06
0.1335  0.325  0.05
0.1335  0.335  0.05
0.1335  0.345  0.05
0.1335  0.355  0.04
0.1335  0.365  0.04
0.1335  0.375  0.01
0.1335  0.385  0.04
0.1335  0.395  0.03
0.1405  0.285  0.12
0.1405  0.295  0.08
0.1405  0.305  0.08
0.1405  0.315  0.05
0.1405  0.325  0.06
0.1405  0.335  0.05
0.1405  0.345  0.03
0.1405  0.355  0.03
0.1405  0.365  0.05
0.1405  0.375  0.03
0.1405  0.385  0.02
0.1405  0.395  0.03
0.1475  0.295  0.09
0.1475  0.305  0.06
0.1475  0.315  0.07
0.1475  0.325  0.05
0.1475  0.335  0.08
0.1475  0.345  0.05
0.1475  0.355  0.04
0.1475  0.365  0.04
0.1475  0.375  0.01
0.1475  0.385  0.03
0.1475  0.395  0.01
0.1545  0.315  0.08
0.1545  0.325  0.05
0.1545  0.335  0.05
0.1545  0.345  0.04
0.1545  0.355  0.04
